Longitude	Latitude	Time	Elevation_m
-73.944571	45.417936	13:11:9.380430	9.159
-73.94457	45.419305	13:5:53.386356	9.033
-73.944568	45.416026	13:21:15.373090	8.011
-73.944568	45.419021	13:10:15.394342	8.714
-73.944563	45.416582	13:18:39.379168	7.748
-73.944561	45.419278	13:5:54.383413	9.026
-73.944559	45.415986	13:21:16.373147	7.936
-73.944558	45.417894	13:11:10.379487	9.187
-73.944558	45.418985	13:10:14.393284	8.631
-73.944558	45.419425	13:5:48.400071	9.294
-73.944554	45.416531	13:18:38.380111	7.785
-73.944554	45.417613	13:14:28.386812	9.145
-73.944553	45.418948	13:10:13.393227	8.491
-73.944553	45.419247	13:5:55.398471	8.936
-73.944552	45.415945	13:21:17.373205	7.932
-73.94455	45.41891	13:10:12.392170	8.318
-73.944548	45.41887	13:10:11.393113	8.129
-73.944545	45.41648	13:18:37.379054	7.817
-73.944544	45.418829	13:10:10.393056	7.968
-73.944543	45.417852	13:11:11.377544	9.209
-73.944542	45.417567	13:14:27.388755	9.054
-73.944539	45.418788	13:10:9.393999	7.835
-73.944535	45.419179	13:5:57.403585	8.898
-73.944534	45.418747	13:10:8.393941	7.73
-73.944533	45.417522	13:14:26.385698	9.015
-73.944532	45.416881	13:16:15.364931	7.17
-73.944531	45.419436	13:5:47.399013	9.365
-73.94453	45.415819	13:21:20.374376	8.065
-73.944529	45.41781	13:11:12.378601	9.229
-73.944528	45.418707	13:10:7.393884	7.627
-73.944526	45.419141	13:5:58.400642	9.035
-73.944525	45.416387	13:18:35.374939	7.965
-73.944522	45.415775	13:21:21.377434	8.115
-73.944522	45.418665	13:10:6.392827	7.556
-73.944521	45.416835	13:16:16.364988	7.015
-73.944516	45.418622	13:10:5.393770	7.43
-73.944515	45.41634	13:18:34.375882	8.045
-73.944515	45.419102	13:5:59.401700	8.961
-73.944514	45.416789	13:16:17.365046	6.9
-73.944511	45.418578	13:10:4.392713	7.332
-73.944507	45.416742	13:16:18.365102	6.841
-73.944506	45.419062	13:6:0.400757	8.87
-73.944505	45.415684	13:21:23.374548	8.166
-73.944505	45.416293	13:18:33.376825	8.074
-73.944505	45.418532	13:10:3.393655	7.332
-73.944504	45.41944	13:5:46.397956	9.439
-73.944502	45.417726	13:11:14.378715	9.163
-73.944501	45.416694	13:16:19.365159	6.804
-73.944499	45.417348	13:14:22.387469	8.833
-73.944499	45.418484	13:10:2.394598	7.453
-73.944496	45.416247	13:18:32.361767	8.1
-73.944495	45.416645	13:16:20.366217	6.808
-73.944495	45.419023	13:6:1.401814	8.782
-73.944491	45.417305	13:14:21.387412	8.852
-73.94449	45.416595	13:16:21.366274	6.793
-73.944489	45.4162	13:18:31.380711	8.055
-73.944488	45.417682	13:11:15.379773	9.097
-73.944487	45.418387	13:10:0.392484	7.906
-73.944485	45.416545	13:16:22.366332	6.81
-73.944483	45.417262	13:14:20.389355	8.879
-73.944482	45.418984	13:6:2.402872	8.754
-73.944477	45.415552	13:21:26.376720	8.282
-73.944477	45.416497	13:16:23.365388	6.806
-73.944477	45.417639	13:11:16.377830	9.025
-73.944474	45.418292	13:9:58.393369	8.316
-73.944471	45.418946	13:6:3.402929	8.627
-73.944471	45.419433	13:5:45.385898	9.356
-73.944468	45.418247	13:9:57.394312	8.528
-73.944467	45.415509	13:21:27.375777	8.291
-73.944465	45.417594	13:11:17.376887	8.96
-73.944462	45.418906	13:6:4.400986	8.46
-73.944461	45.418203	13:9:56.395255	8.688
-73.944457	45.415466	13:21:28.374834	8.313
-73.944455	45.416069	13:18:28.379539	8.012
-73.944455	45.41641	13:16:25.382504	7.494
-73.944453	45.418159	13:9:55.395198	8.854
-73.944453	45.418864	13:6:5.403043	8.235
-73.94445	45.41708	13:14:16.391126	8.812
-73.944448	45.419413	13:5:44.385841	9.36
-73.944446	45.416024	13:18:27.380482	7.955
-73.944444	45.416357	13:16:26.381561	7.908
-73.944444	45.418115	13:9:54.394141	8.949
-73.944444	45.418822	13:6:6.400100	8.02
-73.944442	45.41538	13:21:30.374948	8.247
-73.944442	45.417506	13:11:19.386002	8.84
-73.944439	45.417033	13:14:15.388069	8.712
-73.944438	45.419384	13:5:43.399785	9.415
-73.944435	45.415979	13:18:26.380424	7.959
-73.944434	45.418072	13:9:53.395083	9.079
-73.944434	45.418778	13:6:7.402157	7.892
-73.944434	45.419352	13:5:42.398727	9.427
-73.944432	45.415338	13:21:31.376006	8.345
-73.94443	45.417464	13:11:20.379059	8.822
-73.944429	45.419317	13:5:41.383669	9.39
-73.944428	45.416986	13:14:14.388011	8.604
-73.944426	45.416314	13:16:27.368618	7.908
-73.944425	45.418028	13:9:52.394026	9.107
-73.944424	45.415297	13:21:32.376063	8.369
-73.944424	45.418735	13:6:8.403215	7.837
-73.944424	45.419281	13:5:40.383612	9.434
-73.944419	45.417422	13:11:21.379116	8.792
-73.944418	45.419244	13:5:39.384555	9.377
-73.944417	45.417984	13:9:51.394969	9.067
-73.944416	45.415256	13:21:33.376120	8.304
-73.944416	45.418692	13:6:9.406272	7.782
-73.944414	45.416939	13:14:13.387954	8.487
-73.94441	45.416272	13:16:28.367675	7.853
-73.94441	45.41794	13:9:50.394912	9.073
-73.94441	45.419206	13:5:38.385498	9.305
-73.944409	45.417382	13:11:22.378173	8.787
-73.944408	45.415214	13:21:34.374177	8.218
-73.944408	45.418648	13:6:10.401329	7.747
-73.944403	45.417895	13:9:49.393855	9.144
-73.944402	45.419167	13:5:37.386441	9.341
-73.944401	45.418603	13:6:11.401386	7.643
-73.944397	45.415843	13:18:23.375253	7.967
-73.944397	45.417341	13:11:23.378230	8.801
-73.944396	45.419126	13:5:36.400384	9.334
-73.944395	45.417852	13:9:48.393797	9.154
-73.944394	45.415133	13:21:36.374291	8.3
-73.944393	45.418557	13:6:12.401443	7.558
-73.944392	45.416228	13:16:29.366732	8.051
-73.944388	45.419085	13:5:35.385326	9.289
-73.944387	45.4173	13:11:24.377287	8.864
-73.944385	45.415094	13:21:37.375349	8.309
-73.944384	45.418511	13:6:13.402501	7.593
-73.944383	45.419044	13:5:34.402270	8.875
-73.944379	45.416185	13:16:30.379790	7.983
-73.944379	45.419428	13:1:23.396913	9.338
-73.944378	45.41726	13:11:25.378345	8.945
-73.944377	45.417768	13:9:46.380682	9.068
-73.944377	45.419003	13:5:33.404213	8.819
-73.944376	45.418464	13:6:14.402558	7.675
-73.944376	45.419402	13:1:24.395970	9.311
-73.944375	45.415745	13:18:21.364138	7.946
-73.944371	45.416794	13:14:10.385783	8.091
-73.94437	45.415016	13:21:39.374463	8.203
-73.94437	45.418961	13:5:32.404156	8.771
-73.944369	45.41722	13:11:26.380402	8.969
-73.944369	45.419374	13:1:25.397027	9.251
-73.944368	45.417726	13:9:45.382625	9.005
-73.944368	45.418416	13:6:15.401615	7.816
-73.944366	45.416142	13:16:31.383847	7.922
-73.944366	45.419451	13:1:22.396856	9.441
-73.944364	45.415696	13:18:20.381082	7.955
-73.944364	45.418921	13:5:31.403099	8.566
-73.944363	45.418369	13:6:16.401672	7.997
-73.944362	45.414978	13:21:40.372520	8.109
-73.944362	45.419344	13:1:26.402085	9.202
-73.944361	45.417684	13:9:44.377568	8.285
-73.944359	45.416745	13:14:9.387725	8.004
-73.944359	45.417179	13:11:27.377459	8.935
-73.944359	45.418321	13:6:17.407730	8.245
-73.944358	45.41888	13:5:30.403041	8.381
-73.944356	45.416099	13:16:32.381904	7.83
-73.944356	45.418275	13:6:18.401787	8.504
-73.944354	45.415647	13:18:19.381024	7.952
-73.944353	45.419312	13:1:27.397142	9.162
-73.944352	45.418229	13:6:19.401844	8.651
-73.944352	45.418837	13:5:29.409985	8.148
-73.944351	45.417138	13:11:28.377516	8.897
-73.944348	45.418183	13:6:20.401901	8.858
-73.944347	45.418794	13:5:28.402927	8.058
-73.944346	45.416056	13:16:33.382962	7.803
-73.944346	45.416695	13:14:8.387668	7.93
-73.944346	45.419276	13:1:28.396199	9.129
-73.944345	45.417601	13:9:42.377453	8.181
-73.944344	45.417096	13:11:29.378573	8.832
-73.944343	45.418748	13:5:27.402870	8.035
-73.944341	45.418137	13:6:21.402958	8.941
-73.944341	45.419465	13:1:21.397799	9.476
-73.944339	45.414867	13:21:43.374692	7.965
-73.944339	45.416015	13:16:34.382019	7.814
-73.944337	45.41756	13:9:41.380396	8.838
-73.944337	45.418703	13:5:26.401813	7.923
-73.944337	45.41924	13:1:29.396256	9.059
-73.944336	45.417054	13:11:30.378631	8.806
-73.944334	45.414836	13:21:44.375749	7.954
-73.944333	45.415973	13:16:35.382076	7.795
-73.944332	45.416646	13:14:7.389611	7.862
-73.944332	45.418091	13:6:22.402015	9.002
-73.944331	45.414807	13:21:45.375806	7.92
-73.944331	45.418657	13:5:25.402755	7.87
-73.94433	45.415932	13:16:36.382133	7.839
-73.94433	45.419203	13:1:30.395314	8.999
-73.944329	45.417011	13:11:31.379688	8.756
-73.944329	45.417517	13:9:40.394340	8.822
-73.944328	45.414781	13:21:46.373864	7.924
-73.944325	45.418045	13:6:23.401072	9.026
-73.944324	45.41589	13:16:37.383190	7.87
-73.944324	45.418609	13:5:24.402698	7.817
-73.944323	45.416968	13:11:32.378745	8.671
-73.944323	45.419166	13:1:31.402371	9.013
-73.944322	45.417474	13:9:39.382282	8.824
-73.94432	45.416598	13:14:6.387554	7.811
-73.944319	45.415507	13:18:16.379853	8.014
-73.944319	45.415848	13:16:38.383247	7.867
-73.944318	45.419129	13:1:32.397428	9.009
-73.944317	45.417997	13:6:24.401130	9.055
-73.944316	45.418562	13:5:23.399641	8.287
-73.944315	45.416924	13:11:33.377802	8.537
-73.944314	45.417431	13:9:38.381225	8.812
-73.944314	45.41944	14:4:11.244969	9.34
-73.944313	45.415807	13:16:39.383305	7.86
-73.944311	45.419094	13:1:33.398485	8.987
-73.944309	45.418515	13:5:22.399583	8.287
-73.944308	45.415766	13:16:40.383362	7.869
-73.944308	45.41795	13:6:25.403187	9.081
-73.944308	45.419471	13:1:20.397742	9.453
-73.944307	45.415461	13:18:15.380795	8.018
-73.944306	45.417387	13:9:37.382168	8.862
-73.944304	45.416881	13:11:34.377860	8.471
-73.944304	45.419058	13:1:34.396543	8.935
-73.944304	45.419414	14:4:10.244912	9.333
-73.944303	45.415725	13:16:41.383419	7.831
-73.944303	45.418466	13:5:21.386526	8.37
-73.9443	45.417902	13:6:26.402244	9.118
-73.944297	45.418418	13:5:20.386468	8.563
-73.944296	45.417343	13:9:36.380110	8.884
-73.944295	45.415684	13:16:42.383476	7.85
-73.944295	45.416501	13:14:4.385439	7.608
-73.944295	45.419024	13:1:35.401600	8.889
-73.944294	45.419382	14:4:9.244855	9.283
-73.944293	45.415416	13:18:14.381738	8.008
-73.944292	45.416837	13:11:35.376916	8.359
-73.944291	45.417854	13:6:27.402301	9.151
-73.944288	45.418321	13:5:18.403355	8.38
-73.944287	45.417299	13:9:35.414055	8.888
-73.944286	45.415644	13:16:43.366532	7.888
-73.944286	45.416454	13:14:3.386382	7.653
-73.944286	45.418989	13:1:36.396657	8.857
-73.944284	45.418274	13:5:17.402297	8.638
-73.944281	45.417806	13:6:28.400358	9.12
-73.944279	45.417255	13:9:34.394997	8.896
-73.944279	45.418229	13:5:16.403240	8.88
-73.944277	45.415372	13:18:13.380681	7.941
-73.944277	45.415604	13:16:44.388591	7.916
-73.944277	45.418955	13:1:37.397714	8.788
-73.944275	45.416407	13:14:2.370324	7.691
-73.944275	45.419464	13:1:19.397685	9.38
-73.944274	45.418184	13:5:15.401183	8.919
-73.944272	45.419308	14:4:7.251741	9.19
-73.944271	45.41721	13:9:33.393939	8.888
-73.94427	45.417758	13:6:29.401416	8.999
-73.94427	45.418141	13:5:14.402126	9.128
-73.944268	45.418921	13:1:38.396771	8.704
-73.944266	45.415564	13:16:45.383648	7.938
-73.944266	45.417165	13:9:32.391882	8.282
-73.944263	45.418097	13:5:13.401069	9.787
-73.944262	45.417708	13:6:30.401473	8.959
-73.944259	45.41712	13:9:31.379824	8.277
-73.944258	45.418885	13:1:39.396829	8.56
-73.944256	45.418054	13:5:12.398011	9.814
-73.944255	45.415525	13:16:46.382705	7.957
-73.944252	45.415284	13:18:11.380567	7.896
-73.944252	45.416703	13:11:38.379088	7.968
-73.94425	45.419443	13:1:18.396627	9.347
-73.944249	45.416272	13:13:59.387154	8.085
-73.944249	45.418848	13:1:40.395885	8.387
-73.944248	45.41766	13:6:31.384529	9.21
-73.944248	45.418011	13:5:11.385953	9.827
-73.944246	45.41922	14:4:5.243626	8.983
-73.944244	45.41524	13:18:10.380509	7.949
-73.944243	45.414825	13:17:57.381766	7.76
-73.944243	45.415485	13:16:47.383762	7.972
-73.944242	45.414792	13:17:56.381709	7.766
-73.944242	45.416229	13:13:58.388096	8.093
-73.944241	45.414856	13:17:58.381823	7.781
-73.944241	45.41703	13:9:29.377710	8.247
-73.94424	45.416658	13:11:39.379146	7.89
-73.94424	45.41881	13:1:41.395943	8.273
-73.944239	45.417611	13:6:32.399587	9.145
-73.944238	45.414887	13:17:59.380880	7.762
-73.944238	45.419413	13:1:17.396570	9.341
-73.944236	45.419382	13:1:16.396513	9.264
-73.944235	45.415197	13:18:9.382452	7.971
-73.944234	45.416187	13:13:57.386039	8.346
-73.944233	45.41935	13:1:15.398456	9.233
-73.944231	45.415446	13:16:48.381819	7.967
-73.944231	45.417923	13:5:9.400840	10.036
-73.944231	45.418772	13:1:42.396000	8.223
-73.944231	45.419173	14:4:4.245569	8.944
-73.944231	45.419316	13:1:14.398398	9.22
-73.94423	45.416613	13:11:40.377202	7.803
-73.94423	45.417562	13:6:33.399644	9.134
-73.944228	45.41928	13:1:13.397341	9.111
-73.944227	45.414376	13:17:38.380679	7.842
-73.944226	45.415157	13:18:8.381395	8.035
-73.944225	45.416143	13:13:56.383982	7.723
-73.944225	45.419243	13:1:12.398284	9.043
-73.944224	45.414732	13:17:54.380594	7.781
-73.944222	45.418734	13:1:43.397057	8.179
-73.944221	45.414342	13:17:36.381565	7.823
-73.944221	45.41788	13:5:8.398783	10.063
-73.944221	45.419206	13:1:11.397227	8.931
-73.94422	45.414394	13:17:39.380736	7.791
-73.94422	45.416568	13:11:41.377260	7.77
-73.94422	45.417512	13:6:34.397702	9.199
-73.944218	45.419125	14:4:3.245512	8.952
-73.944217	45.415119	13:18:7.382338	8.043
-73.944216	45.416943	13:9:27.380596	8.65
-73.944216	45.419167	13:1:10.397170	8.921
-73.944215	45.415408	13:16:49.384877	7.949
-73.944214	45.417462	13:6:35.401759	8.835
-73.944213	45.418696	13:1:44.397114	8.179
-73.944212	45.414705	13:17:53.380537	7.754
-73.944212	45.419127	13:1:9.399113	8.958
-73.944211	45.417838	13:5:7.400725	10.057
-73.94421	45.416525	13:11:42.378317	7.828
-73.944208	45.414411	13:17:40.378793	7.845
-73.944207	45.419086	13:1:8.397055	8.945
-73.944206	45.414966	13:18:2.381052	7.748
-73.944206	45.416899	13:9:26.379539	8.096
-73.944206	45.418657	13:1:45.396172	8.156
-73.944204	45.417413	13:6:36.400816	8.824
-73.944204	45.419077	14:4:2.245454	8.917
-73.944203	45.419045	13:1:7.396998	8.909
-73.944202	45.41505	13:18:5.380223	7.918
-73.9442	45.416013	13:13:53.369809	7.75
-73.9442	45.416482	13:11:43.378374	7.904
-73.944199	45.414679	13:17:52.380480	7.703
-73.944199	45.414991	13:18:3.381109	7.827
-73.944199	45.418619	13:1:46.395229	8.115
-73.944198	45.415019	13:18:4.380166	7.857
-73.944198	45.415369	13:16:50.381934	7.849
-73.944198	45.419004	13:1:6.396941	8.86
-73.944197	45.416856	13:9:25.378481	7.991
-73.944194	45.414429	13:17:41.379851	7.957
-73.944194	45.417755	13:5:5.400611	10.014
-73.944193	45.418581	13:1:47.396286	8.057
-73.944192	45.418964	13:1:5.395884	8.783
-73.944191	45.417365	13:6:37.402873	8.81
-73.944191	45.419029	14:4:1.246397	8.87
-73.94419	45.415969	13:13:52.370752	7.771
-73.94419	45.41644	13:11:44.377431	7.924
-73.944189	45.418542	13:1:48.396343	8.013
-73.944187	45.416813	13:9:24.377424	7.904
-73.944187	45.418503	13:1:49.397400	7.964
-73.944187	45.418925	13:1:4.396827	8.721
-73.944186	45.417713	13:5:4.400554	9.919
-73.944186	45.418383	13:1:52.395572	8.191
-73.944186	45.418424	13:1:51.395514	8.066
-73.944186	45.418464	13:1:50.397458	7.985
-73.944185	45.414322	13:17:34.380450	7.93
-73.944185	45.414654	13:17:51.381422	7.614
-73.944184	45.418344	13:1:53.396629	8.389
-73.944182	45.418886	13:1:3.397769	8.592
-73.944181	45.41533	13:16:51.381991	7.811
-73.944181	45.416398	13:11:45.378489	7.955
-73.944181	45.417317	13:6:38.401930	8.85
-73.944181	45.418304	13:1:54.395686	8.612
-73.944181	45.419491	12:57:4.407100	9.495
-73.944179	45.415926	13:13:51.371695	7.705
-73.944179	45.417671	13:5:3.402497	9.786
-73.944179	45.418982	14:4:0.245340	8.799
-73.944177	45.418847	13:1:2.398712	8.456
-73.944177	45.419515	12:57:3.406043	9.602
-73.944176	45.416771	13:9:23.379367	7.784
-73.944176	45.419466	12:57:5.407157	9.407
-73.944175	45.418265	13:1:55.396743	8.773
-73.944174	45.416356	13:11:46.376545	8.042
-73.944174	45.417629	13:5:2.401440	9.689
-73.944173	45.417271	13:6:39.400988	8.827
-73.944172	45.41463	13:17:50.381365	7.612
-73.944171	45.414466	13:17:43.379965	7.915
-73.944171	45.415884	13:13:50.369637	7.558
