"Info";"Date";"Time";"TimeStamp";"0,2 - CP_output_pwm";"0,2 - CP_rpms";"0,2 - CP_pressure"
"";"2020-11-30";"13:56:56.327";"16330";"10000";"1518";"597772"
"";"2020-11-30";"13:56:56.428";"16431";"10000";"1517";"565460"
"";"2020-11-30";"13:56:56.528";"16531";"10000";"1508";"581616"
"";"2020-11-30";"13:56:56.630";"16633";"10000";"1503";"622006"
"";"2020-11-30";"13:56:56.730";"16733";"10000";"1512";"581616"
"";"2020-11-30";"13:56:56.831";"16834";"10000";"1522";"605850"
"";"2020-11-30";"13:56:56.932";"16935";"10000";"1520";"613928"
"";"2020-11-30";"13:56:57.032";"17035";"10000";"1531";"581616"
"";"2020-11-30";"13:56:57.133";"17136";"10000";"1535";"605850"
"";"2020-11-30";"13:56:57.234";"17237";"10000";"1549";"597772"
"";"2020-11-30";"13:56:57.334";"17337";"10000";"1540";"605850"
"";"2020-11-30";"13:56:57.436";"17439";"10000";"1551";"589694"
"";"2020-11-30";"13:56:57.536";"17539";"10000";"1556";"573538"
"";"2020-11-30";"13:56:57.637";"17640";"10000";"1542";"613928"
"";"2020-11-30";"13:56:57.738";"17741";"10000";"1541";"549304"
"";"2020-11-30";"13:56:57.838";"17841";"10000";"1533";"597772"
"";"2020-11-30";"13:56:57.939";"17942";"10000";"1527";"622006"
"";"2020-11-30";"13:56:58.039";"18042";"10000";"1520";"565460"
"";"2020-11-30";"13:56:58.140";"18143";"10000";"1531";"638162"
"";"2020-11-30";"13:56:58.241";"18244";"10000";"1535";"589694"
"";"2020-11-30";"13:56:58.342";"18345";"10000";"1526";"589694"
"";"2020-11-30";"13:56:58.443";"18446";"10000";"1539";"605850"
"";"2020-11-30";"13:56:58.543";"18546";"10000";"1531";"589694"
"";"2020-11-30";"13:56:58.644";"18647";"10000";"1528";"622006"
"";"2020-11-30";"13:56:58.744";"18747";"10000";"1534";"557382"
"";"2020-11-30";"13:56:58.846";"18849";"10000";"1531";"565460"
"";"2020-11-30";"13:56:58.946";"18949";"10000";"1530";"613928"
"";"2020-11-30";"13:56:59.046";"19049";"10000";"1537";"549304"
"";"2020-11-30";"13:56:59.148";"19151";"10000";"1535";"613928"
"";"2020-11-30";"13:56:59.250";"19253";"10000";"1527";"597772"
"";"2020-11-30";"13:56:59.350";"19353";"10000";"1522";"573538"
"";"2020-11-30";"13:56:59.451";"19454";"10000";"1524";"613928"
